City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Beringovskiy,RU,63.05,179.3167,49.44,94,97,10.78,overcast clouds
109,Kaitangata,NZ,-46.2817,169.8464,37.45,91,94,14.52,overcast clouds
110,Katsuura,JP,35.1333,140.3,77.77,86,71,4.54,broken clouds
111,Bektemir,UZ,41.2097,69.3342,87.85,30,0,4.61,clear sky
112,Baykit,RU,61.67,96.37,46.18,92,100,11.9,light rain
113,Ust-Nera,RU,64.5667,143.2,35.01,79,32,5.5,scattered clouds
114,Kapaa,US,22.0752,-159.319,77.32,87,0,12.66,clear sky
115,Sao Felix Do Xingu,BR,-6.6447,-51.995,98.29,20,39,4.38,scattered clouds
116,Thanh Hoa,VN,19.8,105.7667,77.99,85,62,2.15,broken clouds
117,Deer Lake,CA,49.1667,-57.4316,66.06,68,40,2.3,scattered clouds
118,Pacific Grove,US,36.6177,-121.9166,60.1,89,0,10.0,clear sky
119,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,100,5.01,overcast clouds
120,Isangel,VU,-19.55,169.2667,76.78,90,100,13.4,light rain
121,La Ronge,CA,55.1001,-105.2842,64.65,68,0,4.61,haze
122,Khatanga,RU,71.9667,102.5,42.51,70,100,5.64,overcast clouds
123,Gondanglegi,ID,-7.7479,112.0132,75.78,85,100,11.56,overcast clouds
124,Hobyo,SO,5.3505,48.5268,76.95,80,5,27.65,clear sky
125,Castro,BR,-24.7911,-50.0119,54.16,74,99,8.7,overcast clouds
126,Taoudenni,ML,22.6783,-3.9836,111.13,12,4,2.46,clear sky
127,Nishihara,JP,26.1842,127.7558,84.25,81,100,41.43,moderate rain
128,Seoul,KR,37.5683,126.9778,74.59,94,100,4.61,light rain
129,Port Elizabeth,ZA,-33.918,25.5701,72.1,43,0,8.05,clear sky
130,Acapulco,MX,16.8634,-99.8901,80.42,78,100,10.36,overcast clouds
131,Dickinson,US,29.4608,-95.0513,77.99,93,75,4.61,broken clouds
132,Krasnoselkup,RU,65.7,82.4667,45.82,86,100,12.68,overcast clouds
133,Kishapu,TZ,-3.6167,33.8667,87.53,20,9,2.91,clear sky
134,Faanui,PF,-16.4833,-151.75,77.7,78,40,15.08,light rain
135,Sao Joao Dos Patos,BR,-6.495,-43.7022,94.1,27,20,9.1,few clouds
136,Pecos,US,31.4229,-103.4932,72.86,88,0,0.0,clear sky
137,Fallon,US,39.4735,-118.7774,64.27,45,0,5.75,clear sky
138,Hithadhoo,MV,-0.6,73.0833,81.59,70,100,16.87,overcast clouds
139,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,12.66,light intensity drizzle
140,Waipawa,NZ,-41.4122,175.5153,43.59,91,95,8.08,overcast clouds
141,Kununurra,AU,-15.7667,128.7333,71.58,53,2,1.14,clear sky
142,Fandriana,MG,-20.2333,47.3833,54.55,81,2,7.14,clear sky
143,Butaritari,KI,3.0707,172.7902,82.29,72,54,14.27,broken clouds
144,Tocopilla,CL,-22.092,-70.1979,66.72,57,3,6.06,clear sky
145,Barrow,US,71.2906,-156.7887,41.02,93,100,10.36,light rain
146,Yerofey Pavlovich,RU,53.9667,121.9667,55.24,97,100,8.99,light rain
147,Gornozavodsk,RU,58.3758,58.3211,45.68,72,76,6.76,broken clouds
148,Aloleng,PH,16.1307,119.7824,80.96,82,100,15.14,light rain
149,Uaua,BR,-9.8414,-39.4817,79.97,50,66,16.46,broken clouds
150,Egvekinot,RU,66.3167,-179.1667,32.41,88,100,9.46,snow
151,Storslett,NO,69.7678,21.0247,50.0,87,100,9.22,overcast clouds
152,Georgetown,MY,5.4112,100.3354,82.35,82,20,2.3,few clouds
153,Yantal,RU,56.8471,105.2542,36.9,85,100,0.29,overcast clouds
154,Itirucu,BR,-13.5317,-40.1503,81.86,36,28,4.68,scattered clouds
155,Grand Gaube,MU,-20.0064,57.6608,72.0,73,2,5.99,clear sky
156,East London,ZA,-33.0153,27.9116,74.34,60,0,5.75,clear sky
157,Lima,PE,-12.0432,-77.0282,60.91,84,100,5.75,overcast clouds
158,Namibe,AO,-15.1961,12.1522,67.42,80,49,16.04,scattered clouds
159,Birao,CF,10.2849,22.7882,75.38,86,71,4.88,light rain
160,Harindanga,IN,22.0383,88.3214,85.8,74,74,9.06,broken clouds
161,Alice Springs,AU,-23.7,133.8833,57.22,26,8,0.0,clear sky
162,Gambela,ET,8.25,34.5833,77.95,86,40,1.39,light rain
163,Leningradskiy,RU,69.3833,178.4167,33.6,85,99,5.23,overcast clouds
164,Atuona,PF,-9.8,-139.0333,76.5,70,8,20.22,clear sky
165,Houlton,US,46.1262,-67.8403,63.72,75,100,0.0,overcast clouds
166,Rusape,ZW,-18.5278,32.1284,76.75,17,0,8.81,clear sky
167,Necochea,AR,-38.5473,-58.7368,64.9,36,6,15.82,clear sky
168,Pativilca,PE,-10.7,-77.7833,63.77,72,53,7.27,broken clouds
169,Shumerlya,RU,55.5005,46.4129,54.25,52,100,3.24,overcast clouds
170,Rexburg,US,43.826,-111.7897,65.71,54,0,0.0,clear sky
171,Bluff,NZ,-46.6,168.3333,41.81,74,100,24.79,overcast clouds
172,Touros,BR,-5.1989,-35.4608,81.12,71,69,15.05,broken clouds
173,Port-Gentil,GA,-0.7193,8.7815,80.56,74,40,16.11,scattered clouds
174,Kavieng,PG,-2.5744,150.7967,82.13,72,0,14.03,clear sky
175,Nikolskoye,RU,59.7035,30.7861,52.88,83,83,6.62,broken clouds
176,Bubaque,GW,11.2833,-15.8333,79.79,80,51,12.73,light rain
177,San Angelo,US,31.4638,-100.437,78.58,79,0,5.75,clear sky
178,Pulandian,CN,39.3953,121.9669,65.3,94,100,5.06,moderate rain
179,Port Alfred,ZA,-33.5906,26.891,68.18,80,3,1.99,clear sky
180,Loiza,PR,18.4313,-65.8802,87.8,83,75,12.66,broken clouds
181,Wajir,KE,1.7471,40.0573,91.36,29,20,11.5,few clouds
182,Carnarvon,AU,-24.8667,113.6333,65.89,65,6,15.93,clear sky
183,Sao Filipe,CV,14.8961,-24.4956,80.37,76,99,1.54,light rain
184,Mnogovershinnyy,RU,53.9353,139.9242,56.98,92,8,4.52,clear sky
185,Ketchikan,US,55.3422,-131.6461,54.07,100,100,10.36,overcast clouds
186,Mezen,RU,65.8522,44.24,46.92,73,100,10.6,overcast clouds
187,Torbay,CA,47.6666,-52.7314,68.88,89,75,6.91,mist
188,Chifeng,CN,42.2683,118.9636,70.09,52,13,18.97,few clouds
189,La Rioja,ES,42.25,-2.5,80.38,15,14,7.05,few clouds
190,Alugan,PH,12.2188,125.4808,80.53,86,100,7.9,overcast clouds
191,Kodiak,US,57.79,-152.4072,47.71,93,100,0.0,overcast clouds
192,Mecca,SA,21.4267,39.8261,95.85,35,2,10.11,clear sky
