City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Utraula,IN,86.68,scattered clouds,27.3167,82.4167,Taj Hotel and Lodge
273,Coldwater,US,70.03,mist,41.9403,-85.0005,Coldwater Inn & Suites
276,Chizhou,CN,74.8,scattered clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
277,Margate,GB,76.87,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
278,Naze,JP,81.52,moderate rain,28.3667,129.4833,Shishime Hotel
281,Natchitoches,US,76.05,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
284,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
287,Le Mans,FR,85.93,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
288,Malanje,AO,85.37,broken clouds,-9.5402,16.341,Hotel Ginga
291,Lafiagi,NG,84.36,light rain,8.8667,5.4167,Bus group international
296,Monroe,US,71.28,light intensity drizzle,43.1501,-77.6831,Rodeway Inn Rochester Airport
297,Weida,DE,81.19,overcast clouds,50.7667,12.0667,"Ferienwohnung ""Haus Martha Weida"""
298,Jiuquan,CN,70.63,scattered clouds,39.7432,98.5174,Jiuquan Hotel
301,Granadilla De Abona,ES,73.04,broken clouds,28.1188,-16.576,Hotel Rural Senderos De Abona
303,Kotra,IN,89.2,broken clouds,25.8167,79.3167,Rathaur Samaj Dharmsala
304,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
307,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
309,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
310,Kinarut,MY,75.22,scattered clouds,5.8231,116.0466,Langkah Syabas Beach Resort
314,Lubango,AO,77.05,clear sky,-14.9172,13.4925,Hotel Serra da Chela
315,San Policarpo,PH,80.91,overcast clouds,12.1791,125.5072,Agapita M. Nicart
321,Wenling,CN,78.85,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
324,Aalst,BE,83.41,overcast clouds,50.9433,4.0735,Keizershof Hotel
326,Asheville,US,74.1,mist,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
328,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
330,Pampa,US,75.24,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
331,Lata,PT,80.49,scattered clouds,40.1629,-8.3327,Casa Maquia
332,Bagepalli,IN,81.61,overcast clouds,13.7847,77.7931,Srinivasa Lodge
333,Shiyan,CN,71.85,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
334,Halifax,CA,71.46,overcast clouds,44.6453,-63.5724,Hotel Halifax
337,Baker City,US,70.65,clear sky,44.7749,-117.8344,Bridge Street Inn
339,Kailua,US,77.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
340,Quixada,BR,93.18,scattered clouds,-4.9714,-39.0153,Hotel Vale das Pedras
341,Akdagmadeni,TR,73.99,scattered clouds,39.6603,35.8836,Hanedan Otel
